home_grid,ses,avg_dis
113204,5,7.438
113205,5,6.448
113208,4,5.774
113774,4,6.713
113775,4,10.291
113776,15,8.559
113777,3,6.399
113778,3,7.341
113794,15,7.708
113795,15,9.57
113820,62,6.247
113839,6,7.295
113846,63,8.57
113847,21,8.798
113848,10,8.88
113849,10,6.28
113850,11,7.105
113864,25,5.815
113866,9,7.669
113867,13,6.476
113869,6,7.297
113870,6,7.546
113872,10,5.467
113874,8,7.171
113876,20,6.581
113877,42,7.07
113878,51,6.238
113886,38,6.629
113887,66,5.065
113888,66,4.375
113889,56,7.655
113890,36,7.622
113891,32,9.519
113892,33,12.378
113917,3,8.145
113918,3,7.433
113921,5,6.92
113922,4,5.88
114489,18,7.448
114490,15,8.777
114491,13,9.052
114492,13,8.085
114508,7,7.784
114509,2,9.853
114534,62,7.977
114559,69,9.387
114561,27,9.145
114571,11,6.573
114572,11,8.519
114576,12,6.384
114577,12,6.443
114579,16,8.02
114580,9,7.043
114581,8,7.582
114583,7,7.533
114584,8,7.082
114585,8,6.601
114586,8,6.44
114587,11,6.647
114588,6,6.386
114589,5,5.864
114590,51,7.992
114591,49,8.132
114592,59,6.037
114631,3,7.978
114632,3,8.896
114635,5,7.215
115203,18,8.606
115214,14,9.336
115222,2,10.378
115223,2,9.308
115264,19,5.032
115265,19,5.127
115273,69,8.318
115275,27,10.198
115277,30,7.929
115283,9,5.998
115284,9,7.624
115285,11,7.931
115286,10,7.509
115291,15,7.282
115293,16,6.694
115295,9,5.894
115298,17,6.007
115299,8,6.516
115300,9,5.992
115301,9,6.191
115303,6,6.28
115304,10,6.301
115305,10,6.67
115322,21,8.944
115345,6,8.057
115346,6,7.096
115347,6,7.507
115910,15,10.025
115911,18,6.096
115912,17,9.327
115916,15,11.796
115921,23,7.511
115936,9,10.091
115937,4,10.291
115986,32,7.087
115987,32,6.319
115988,22,7.909
115990,36,8.327
115991,30,7.403
115999,11,7.627
116000,11,6.673
116005,15,6.163
116017,23,6.836
116018,23,7.116
116019,19,7.996
116036,21,6.688
116635,19,6.55
116650,8,10.469
116651,4,10.581
116677,78,6.62
116679,49,7.59
116680,49,5.859
116681,50,6.899
116702,22,8.409
116704,36,8.622
116705,32,7.507
116713,14,7.503
116716,12,8.375
116729,31,5.334
116730,31,6.858
116731,23,7.656
116732,23,5.52
116733,19,6.828
116734,18,6.359
117349,19,7.082
117388,24,6.314
117389,24,5.366
117390,33,8.837
117391,24,8.553
117392,59,9.255
117393,54,9.183
117394,49,7.947
117426,19,7.153
117427,19,7.424
117428,17,7.561
117429,13,7.347
117430,16,7.758
117431,14,7.552
117439,15,7.68
117443,15,7.247
117444,15,8.399
117490,39,9.272
117492,49,8.864
118065,12,9.457
118066,12,7.118
118102,20,7.963
118103,31,7.664
118104,31,6.666
118105,24,7.345
118106,61,7.841
118107,54,8.62
118108,61,7.227
118119,19,6.595
118120,19,5.656
118140,16,8.311
118141,22,5.912
118142,17,6.632
118143,14,6.032
118144,21,7.154
118145,21,7.006
118152,41,8.493
118153,15,7.581
118154,10,7.761
118157,23,7.261
118182,25,8.276
118183,25,9.501
118184,38,7.166
118204,61,9.476
118205,54,9.228
118206,31,10.199
118780,5,8.927
118815,56,7.899
118816,56,7.668
118817,29,7.494
118818,29,6.82
118821,42,8.994
118858,21,6.683
118859,20,6.899
118866,41,8.539
118867,13,7.467
118868,12,5.571
118896,15,8.076
118897,8,6.836
118898,38,6.797
118918,61,8.201
118919,20,10.733
118920,2,9.725
119505,1,8.333
119540,41,6.261
119541,70,6.809
119542,41,5.994
119547,18,7.247
119572,25,6.471
119573,25,6.808
119579,47,6.454
119581,15,6.038
119610,35,8.064
119611,8,8.87
119612,14,7.603
119613,14,8.691
119614,45,8.341
120219,1,7.568
120220,3,6.047
120253,35,6.977
120254,28,5.663
120255,33,6.337
120261,18,5.335
120262,39,5.754
120267,20,4.943
120268,20,4.222
120324,35,7.753
120325,35,8.505
120326,37,8.635
120327,38,8.995
120337,21,9.595
120933,3,7.693
120976,39,6.146
120981,20,4.708
120982,25,4.092
121004,7,5.637
121022,34,7.065
121023,31,7.378
121025,15,7.738
121041,38,9.735
121042,30,7.915
121050,49,9.435
121051,21,9.816
121647,4,7.966
121648,3,7.065
121690,19,5.109
121691,18,6.126
121695,25,5.219
121696,25,3.849
121738,13,6.625
121763,49,9.092
121765,48,9.426
122354,2,8.429
122355,2,10.839
122356,3,10.045
122358,1,9.755
122359,1,7.726
122389,8,7.454
123068,1,11.366
123070,2,10.589
123071,2,11.011
123072,2,8.967
123073,2,9.485
123085,7,7.754
123086,11,8.411
123087,11,7.993
123099,10,5.565
123102,40,7.407
123103,21,6.089
123104,33,6.407
123105,14,5.682
123106,38,6.491
123107,37,7.246
123128,54,6.373
123129,54,7.066
123130,48,6.719
123131,48,6.168
123133,39,5.745
123135,43,6.254
123144,46,6.096
123777,11,9.317
123778,10,11.262
123781,11,10.714
123782,10,10.503
123783,10,11.108
123786,1,9.632
123787,2,9.492
123799,10,9.067
123800,10,8.433
123801,11,8.214
123813,28,6.431
123816,29,6.107
123817,22,6.903
123818,22,6.659
123819,14,6.689
123820,44,5.802
123821,42,6.889
123822,45,5.295
123823,45,4.785
123833,23,6.033
123834,53,5.859
123842,59,5.891
123843,58,7.521
123844,48,7.364
123845,45,7.7
123846,49,7.109
123847,24,6.703
123848,40,6.07
123849,54,6.363
123850,54,7.269
123855,28,7.259
123856,25,5.734
123858,46,6.047
123860,54,8.388
123862,51,7.542
123864,30,6.089
123865,30,6.651
124495,4,11.294
124496,4,10.962
124501,8,10.082
124513,9,6.969
124514,9,7.468
124517,9,7.041
124518,7,6.432
124528,21,7.261
124529,18,6.221
124530,26,8.32
124531,29,7.462
124532,24,5.97
124533,86,6.0
124534,86,5.757
124535,42,5.83
124536,37,6.824
124537,45,5.812
124547,23,4.623
124548,53,6.1
124556,53,7.201
124557,54,7.679
124558,54,8.177
124559,38,7.974
124560,31,7.088
124561,22,7.471
124562,38,7.632
124563,38,7.393
124564,54,6.173
124567,24,5.724
124568,45,6.344
124569,59,6.616
124570,25,6.379
124572,48,6.301
124573,48,8.804
124574,48,7.485
124575,43,7.135
124576,51,7.789
124577,28,7.236
124578,37,7.449
124579,30,6.541
124582,61,7.127
124584,25,6.394
124651,4,7.849
124652,4,11.095
125209,3,12.364
125215,9,9.719
125227,8,7.576
125231,9,8.015
125241,25,7.017
125242,40,7.257
125243,24,6.42
125244,28,7.726
125245,27,8.341
125246,24,7.045
125247,86,6.216
125248,40,6.841
125249,30,5.834
125250,17,6.259
125251,18,7.494
125255,52,7.06
125256,52,5.609
125270,53,6.852
125271,53,7.785
125272,55,7.048
125273,32,7.473
125274,22,7.006
125275,31,6.172
125276,30,7.471
125277,34,7.559
125278,51,7.53
125279,29,6.308
125280,27,6.875
125281,27,7.603
125284,56,6.595
125286,43,7.915
125287,41,9.057
125288,41,7.815
125289,43,5.695
125290,20,6.443
125291,20,7.631
125292,37,7.413
125293,25,6.725
125297,18,6.791
125298,31,5.964
125299,44,6.184
125300,46,6.98
125305,24,4.644
125306,24,6.46
125940,8,8.407
125941,8,8.17
125955,16,7.121
125956,18,7.387
125957,33,7.298
125958,25,7.008
125959,18,7.422
125960,25,5.76
125961,15,6.126
125962,33,6.864
125963,46,6.544
125964,17,6.517
125965,29,5.909
125969,52,8.457
125970,39,5.453
125979,54,6.504
125980,62,6.699
125981,50,5.624
125982,56,5.925
125983,65,6.494
125984,24,7.222
125986,38,7.318
125987,41,7.126
125988,23,6.321
125989,39,6.987
125990,31,6.942
125992,49,7.196
125993,29,7.216
125994,29,6.846
125995,27,7.078
125996,48,5.78
125999,25,7.534
126001,22,7.862
126005,47,8.247
126006,89,6.856
126007,45,7.237
126012,55,7.171
126013,55,6.117
126018,18,6.857
126019,18,6.078
126654,10,8.177
126655,8,6.026
126669,10,5.097
126670,10,6.388
126671,30,6.349
126672,27,6.78
126673,28,6.114
126674,21,6.23
126676,23,5.164
126679,40,7.075
126680,68,6.658
126683,54,7.399
126688,31,6.918
126693,61,5.383
126694,48,6.242
126695,53,7.111
126696,58,5.533
126697,56,5.572
126698,47,6.696
126699,44,7.227
126700,26,6.905
126701,38,7.013
126702,35,7.509
126703,22,7.259
126704,59,7.418
126707,38,6.894
126708,20,7.946
126709,32,6.843
126710,36,7.215
126711,36,6.232
126712,24,6.307
126713,27,6.677
126714,33,6.946
126715,22,7.015
126716,23,6.242
126717,46,7.245
126718,54,7.184
126719,50,7.888
126720,27,7.375
126721,27,5.543
126724,21,5.547
126725,18,6.916
126726,55,7.097
126727,55,7.041
126746,13,8.585
126747,9,7.435
127367,20,7.975
127368,12,7.754
127383,47,4.925
127387,23,7.247
127388,21,6.451
127391,39,5.957
127393,64,6.975
127395,51,11.477
127396,53,9.918
127397,29,7.591
127398,22,7.355
127402,31,6.704
127407,57,8.778
127408,48,6.48
127409,56,6.695
127410,43,6.525
127411,57,5.815
127412,51,6.093
127413,44,7.131
127414,37,7.422
127415,41,7.985
127416,36,6.929
127417,23,7.542
127418,27,7.72
127419,31,6.971
127420,31,6.833
127421,40,6.893
127422,20,6.521
127423,32,7.152
127424,36,7.685
127425,36,6.508
127426,18,5.634
127427,33,6.967
127428,40,6.951
127429,22,7.212
127430,22,6.82
127432,39,7.42
127433,38,7.59
127434,62,6.623
127435,25,5.96
127437,34,6.35
127438,55,6.77
127439,20,8.479
127440,18,8.007
127447,15,6.362
127448,15,6.505
127478,37,9.902
127479,28,9.195
127480,25,9.495
127481,25,8.009
128081,13,7.39
128096,45,4.387
128097,54,7.012
128098,56,6.595
128099,44,7.262
128100,54,7.553
128107,43,8.516
128108,25,7.715
128109,46,8.174
128111,26,6.24
128112,29,6.205
128113,96,6.166
128115,32,6.878
128116,32,6.307
128117,31,6.575
128118,25,7.39
128121,55,7.024
128122,39,7.112
128123,39,6.11
128124,34,6.359
128125,31,6.804
128126,60,7.147
128127,32,7.691
128128,44,6.691
128129,39,7.435
128130,39,7.357
128131,25,6.875
128132,33,6.847
128134,33,7.146
128135,40,6.832
128143,30,6.422
128146,38,6.589
128147,36,7.724
128148,34,7.776
128149,26,8.052
128151,34,6.006
128152,52,7.191
128153,47,6.998
128192,37,8.509
128193,28,9.8
128194,25,9.705
128195,25,9.268
128781,3,8.394
128794,16,7.497
128795,16,7.689
128803,20,6.252
128804,20,5.636
128805,17,7.102
128806,13,5.656
128807,30,6.634
128810,52,5.613
128811,60,7.088
128812,51,7.935
128813,52,7.572
128814,54,7.639
128815,54,7.116
128820,40,8.525
128821,38,8.959
128822,40,7.632
128823,48,7.273
128824,31,7.388
128825,29,6.497
128827,96,5.791
128828,38,6.819
128829,38,6.319
128830,32,6.713
128831,31,5.511
128832,25,5.517
128836,39,5.996
128837,39,6.731
128838,31,5.418
128839,38,6.297
128840,41,6.243
128842,43,7.031
128843,39,7.02
128844,35,6.32
128845,19,6.576
128846,40,5.961
128847,22,7.465
128848,30,6.0
128850,49,7.167
128851,35,6.523
128857,50,6.689
128858,49,5.857
128860,20,7.084
128861,37,7.185
128862,15,7.56
128863,51,7.018
128864,29,7.528
128865,45,7.322
128866,28,7.761
128867,35,7.308
128909,17,11.477
128910,40,8.092
129517,20,7.118
129518,20,7.217
129519,13,6.292
129520,25,6.139
129524,47,5.654
129525,54,5.006
129526,49,5.207
129527,44,7.197
129530,46,6.442
129531,26,5.262
129537,52,6.516
129538,44,5.852
129554,42,5.633
129555,38,6.942
129556,40,7.439
129558,27,5.985
129560,36,6.562
129561,39,6.987
129563,26,5.772
129564,28,7.506
129565,41,7.367
129569,35,5.712
129571,36,6.721
129572,20,5.726
129573,24,4.925
129574,34,9.744
129575,33,9.425
129576,29,9.707
129577,30,6.994
129578,33,6.818
129579,45,6.292
129580,24,7.756
129581,30,7.209
129603,13,11.324
129611,13,6.467
129612,13,8.268
129622,13,9.341
129623,17,12.956
129624,40,13.281
130232,10,6.681
130233,7,7.053
130238,47,5.81
130239,50,6.542
130240,48,6.001
130241,37,7.768
130243,35,6.563
130244,39,5.54
130245,29,5.333
130246,29,5.274
130247,41,6.021
130256,51,6.06
130263,52,4.966
130264,52,4.564
130265,51,5.655
130269,38,6.158
130270,49,6.115
130271,30,6.459
130272,30,7.005
130273,39,7.048
130274,22,6.009
130275,28,6.743
130276,28,6.785
130277,29,6.497
130278,45,6.777
130280,24,6.062
130281,22,6.248
130282,20,7.206
130283,20,6.877
130284,30,6.693
130285,28,7.147
130286,24,6.262
130287,24,6.115
130288,20,6.963
130289,25,6.568
130290,20,6.506
130291,44,7.023
130292,30,5.972
130293,39,6.364
130294,36,7.388
130316,14,6.169
130317,17,7.193
130323,15,8.72
130332,24,8.014
130333,24,6.658
130336,10,9.094
130337,10,10.341
130338,21,13.644
130920,34,8.28
130943,14,5.954
130945,9,6.671
130954,37,5.243
130955,38,6.961
130956,44,6.703
130957,35,5.717
130958,41,6.602
130959,41,6.296
130960,45,6.115
130961,46,7.642
130963,45,6.287
130964,45,7.504
130973,54,6.528
130983,36,5.484
130986,30,5.575
130987,30,5.758
130988,32,6.264
130989,35,6.857
130990,31,6.512
130991,30,7.036
130992,29,6.51
130994,26,6.355
130995,26,6.307
130996,20,6.341
130997,29,6.698
130998,24,6.922
130999,35,6.004
131000,33,7.712
131001,28,6.202
131002,28,7.921
131003,24,6.528
131004,25,6.397
131005,36,6.446
131006,28,5.836
131007,27,6.509
131008,31,6.875
131009,31,7.206
131021,27,5.212
131022,27,5.912
131030,14,5.513
131031,17,6.505
131032,23,7.381
131050,10,8.247
131051,10,8.676
131633,25,7.516
131634,29,8.405
131661,12,6.108
131662,16,6.643
131668,29,6.176
131669,29,6.245
131670,45,6.323
131671,36,7.651
131672,40,6.058
131674,47,6.132
131675,46,13.072
131677,46,5.91
131678,45,6.184
131687,41,5.594
131688,41,5.405
131691,97,5.932
131693,91,6.798
131694,62,6.289
131695,62,6.043
131696,59,6.026
131697,31,5.647
131698,31,5.718
131702,32,6.605
131703,27,7.149
