visit_grid,ses1_fre,ses2_fre,ses3_fre,ses4_fre
171082,475.0,138.0,75.0,8.0
171083,327.0,133.0,64.0,44.0
171084,157.0,74.0,13.0,2.0
171588,82.0,19.0,31.0,38.0
171589,15.0,8.0,7.0,6.0
171590,18.0,0.0,2.0,0.0
171591,15.0,0.0,2.0,3.0
171592,4.0,3.0,5.0,3.0
171593,4.0,0.0,2.0,6.0
171594,17.0,4.0,5.0,4.0
171595,1.0,1.0,0.0,3.0
171597,9.0,4.0,0.0,1.0
171600,2.0,4.0,1.0,4.0
171602,5.0,2.0,0.0,6.0
171605,0.0,7.0,0.0,0.0
171606,16.0,1.0,1.0,5.0
171607,73.0,15.0,19.0,51.0
171608,1.0,0.0,0.0,2.0
171609,1.0,7.0,0.0,1.0
171610,2.0,2.0,0.0,0.0
171613,2.0,6.0,2.0,3.0
171614,12.0,9.0,22.0,20.0
171615,17.0,28.0,30.0,14.0
171616,107.0,101.0,106.0,111.0
171617,83.0,99.0,181.0,168.0
171618,117.0,152.0,115.0,155.0
171619,110.0,143.0,164.0,141.0
171620,93.0,123.0,166.0,162.0
171621,78.0,162.0,169.0,171.0
171622,88.0,119.0,145.0,124.0
171623,155.0,175.0,214.0,210.0
171624,94.0,104.0,152.0,150.0
171625,112.0,128.0,120.0,151.0
171626,115.0,100.0,192.0,218.0
171627,69.0,109.0,167.0,316.0
171628,35.0,113.0,87.0,101.0
171629,68.0,128.0,151.0,144.0
171630,128.0,166.0,153.0,177.0
171631,76.0,186.0,65.0,121.0
171632,70.0,90.0,174.0,120.0
171633,66.0,73.0,101.0,84.0
171634,74.0,84.0,159.0,135.0
171635,32.0,67.0,91.0,96.0
171636,30.0,89.0,78.0,80.0
171637,50.0,72.0,168.0,230.0
171638,39.0,96.0,63.0,65.0
171639,99.0,150.0,291.0,357.0
171640,26.0,41.0,82.0,132.0
171641,37.0,34.0,163.0,106.0
171642,56.0,49.0,114.0,125.0
171643,47.0,98.0,288.0,272.0
171644,50.0,113.0,212.0,316.0
171645,43.0,51.0,136.0,125.0
171646,62.0,42.0,85.0,98.0
171647,21.0,49.0,75.0,108.0
