visit_grid,isolation_1903,isolation_2403
80984,0.7085093753273508,0.7222862961462131
80986,0.7137543703042476,0.5565936040244339
80987,0.687426783720834,0.5954804370155943
80990,0.6198514517218096,0.7448042319649071
80991,0.3409678565739005,0.5472473294987674
81648,0.9271046347559203,0.330550918196995
81665,0.4900266199905188,0.5674280641286751
81668,0.6611825622181393,0.7254770672915969
81676,0.5090100278971574,0.3396367306340442
81677,0.8461368129695531,0.48461167390255666
81686,0.3469477382520861,0.8060678167757287
81689,0.5960077958929194,0.6816714150047483
81690,0.4996415174721266,0.755569306930693
81691,0.725251347402541,0.7773622000047951
81692,0.42004765777720704,0.7745431605073569
81693,0.7553743990481243,0.8117189352817815
81694,0.5139558935179372,0.7987775578065235
81695,0.3296272742556815,0.770148033623003
81696,0.5138717491658668,0.6301662350914344
81697,0.5534223839389733,0.9013039058672108
81698,0.5662365741928961,0.7379574449775177
81700,0.5153840835234736,0.600053890717324
81704,0.6691569364733821,0.6346824519309118
81706,0.5477121664579521,0.46213257636949684
82362,0.46168541924326056,0.5265772004393714
82367,0.5762547361741045,0.7049333248531875
82380,0.7836824007502343,0.5368880855550535
82396,0.609087348217783,0.5133623368551895
82402,0.6266666666666666,0.5456538651955583
82403,0.8351770094416058,0.5724001377410468
82404,0.42553139414478025,0.7660499837715028
82405,0.49750444361469004,0.9080791815091331
82406,0.5188684878340051,0.8340096654694522
82407,0.5294028447517666,0.8584887707898678
82408,0.45745780448501894,0.9342517488519806
82409,0.35114947344897907,0.801214751465254
82410,0.8831596101220676,0.8656891338406174
82411,0.6510162002945508,0.8685668794780139
82412,0.4822086906093368,0.8136776066780733
82413,0.5156939206034648,0.7285279604751445
82414,0.6540261633482947,0.6439663994834917
82415,0.6491489449755532,0.5732396294968953
82416,0.5503547833023474,0.7127616804530676
82417,0.610986941495416,0.6811831684208315
82421,0.4222735937056413,0.5138602520045819
82424,0.7821673782824253,0.4983465981582579
83083,0.5401092513258269,0.8771543992637998
