visit_grid,avg_ses_2403,avg_ses_1903
82378,15,15
82379,32,31
82380,14,22
82381,23,17
82382,29,13
82386,37,26
82387,31,56
82389,15,33
82390,47,22
82391,15,34
82392,52,45
82393,26,35
82394,9,36
82395,23,60
82396,34,30
82398,31,19
82399,21,54
82400,19,15
82401,21,21
82402,23,34
82403,14,33
82404,29,13
82405,27,10
82406,34,15
82407,27,9
82408,30,13
82409,37,14
82410,13,11
82411,21,14
82412,28,15
82413,31,19
82414,22,21
82415,20,22
82416,24,18
82417,22,18
82418,20,15
82419,24,20
82420,23,25
82421,27,28
82422,31,14
82423,22,47
82424,14,38
82425,20,29
82426,17,16
82427,34,33
83053,15,23
83054,17,30
83055,18,19
83056,20,10
83057,22,10
83058,16,14
83059,16,20
83060,14,28
83061,25,10
83062,36,29
83063,17,22
83064,12,19
83065,21,19
83066,17,26
83067,13,31
83068,26,15
83069,31,12
83070,19,11
83071,28,8
83072,22,21
83073,27,13
83074,7,13
83075,10,22
83076,13,27
83077,44,10
83078,23,17
83079,39,10
83080,31,11
83081,37,37
83082,34,20
83083,27,12
83084,26,21
83085,31,20
83086,38,18
83087,34,13
83088,15,30
83089,27,30
83090,29,24
83091,36,32
83092,21,19
83093,24,22
83094,39,26
83095,57,60
83096,24,42
83104,31,17
83105,25,19
83106,9,26
83107,29,38
83108,11,10
83109,23,19
83113,21,46
83114,6,16
83116,33,17
83117,22,7
83118,35,22
83119,34,24
83120,27,6
83121,30,25
83122,46,15
83123,25,11
83124,5,12
83125,39,14
83126,22,17
83127,25,19
83128,18,18
83129,24,14
83130,19,16
83131,22,16
83132,21,12
83133,23,17
83134,26,14
83135,15,29
83136,19,17
83137,14,19
83138,20,24
83139,13,32
83140,28,12
83141,15,15
83142,19,17
83143,15,27
83144,13,23
83766,29,16
83767,16,19
83768,35,24
83769,17,63
83770,11,28
83771,14,33
83772,21,26
83773,12,24
83774,19,21
83775,19,12
83776,44,15
83777,23,26
83778,13,26
83779,11,17
83780,22,18
83781,27,34
83782,22,6
83783,17,11
83784,14,15
83785,15,8
83786,30,7
83787,23,18
83788,20,18
83789,20,26
83790,21,15
83791,36,18
83792,41,22
83793,48,54
83794,33,20
83795,50,12
83796,38,17
83797,36,20
83798,39,23
83799,9,15
83800,27,20
83801,21,23
83802,19,21
83803,12,30
83804,21,28
83805,36,13
83806,27,9
83807,63,25
83808,37,19
83809,30,16
83810,49,17
83811,10,34
83812,7,24
83817,19,25
83818,40,31
83819,15,26
83820,17,12
83821,34,41
83822,22,31
83823,7,57
83824,36,37
83825,13,20
83826,21,17
83827,22,9
83828,30,27
83829,27,14
83830,41,28
83831,29,17
83832,21,17
83833,20,31
83834,15,17
83835,23,6
83836,32,13
83837,12,9
83838,18,16
83839,13,14
83840,28,16
83841,15,20
83842,22,21
83843,26,23
83844,22,22
83845,22,19
83846,26,24
83847,28,25
83848,17,18
83849,33,12
83850,11,15
83851,36,17
83852,18,21
83853,19,26
83854,22,23
83855,16,16
83856,22,24
83857,15,30
83858,10,43
83859,37,25
84480,14,29
84481,21,13
84482,28,29
84483,29,42
84484,20,35
84485,11,11
84486,13,31
84487,23,41
84488,10,20
84489,15,32
84490,24,21
84491,17,35
84492,8,10
84493,10,12
84494,12,24
84495,16,35
84496,17,10
84497,18,14
84498,12,13
84499,13,14
84500,25,13
84501,18,16
84502,5,35
84503,24,33
84504,21,26
84505,36,18
84506,46,19
84507,37,19
84508,43,55
84509,51,36
84510,37,10
84511,52,18
84512,35,18
84513,41,32
84514,33,18
84515,28,30
84516,26,18
84517,24,20
84518,10,27
84519,38,20
84520,20,15
84521,34,14
84522,29,16
84523,44,42
84524,24,64
84525,26,35
84526,30,30
84529,16,17
84530,32,61
84533,13,21
84534,21,13
84535,23,31
84537,35,16
84538,42,24
84539,23,9
84542,30,4
84543,32,55
84544,27,17
84545,38,19
84546,11,12
84547,37,49
84548,33,11
84549,40,19
84550,34,22
84551,15,7
84552,17,17
84553,15,28
84554,33,44
84555,20,48
84556,47,31
84557,31,35
84558,24,17
84559,36,16
84560,26,20
84561,23,19
84562,19,14
84563,15,15
84564,18,16
84565,21,19
84566,26,17
84567,24,14
84568,28,21
84569,46,17
84570,12,25
84571,20,14
84572,12,25
84573,10,27
84574,19,27
84575,38,50
85194,31,25
85195,12,10
85196,16,22
85197,10,26
85198,16,6
85199,20,12
85200,33,47
85201,19,47
85202,22,32
85203,16,31
85204,25,18
85205,22,25
85206,10,20
85207,16,32
85208,13,8
85209,10,17
85210,12,26
85211,12,25
85212,23,22
85213,22,31
85214,35,25
85215,24,26
85216,10,30
85217,27,12
85218,28,33
85219,40,15
85220,27,12
85221,51,9
85222,36,41
85223,36,45
85224,21,16
85225,25,19
85226,44,41
85227,22,23
85228,27,22
85229,20,25
85230,27,35
85231,41,12
85232,24,22
85233,29,17
85234,17,39
85235,16,14
85236,24,24
85237,12,20
85238,27,36
85241,72,34
85247,34,34
85248,54,43
85250,27,11
85254,15,10
85256,51,10
85258,29,27
85259,13,17
85260,34,21
85261,26,15
85262,34,9
85263,35,24
85264,23,20
85265,21,17
85266,23,23
85267,19,31
85268,29,33
85269,18,31
85270,25,26
85271,29,18
85272,37,27
85273,27,19
85274,24,18
85275,25,14
85276,18,17
85277,22,14
85278,18,23
85279,22,23
85280,27,35
85281,27,13
85282,23,20
85283,30,18
85284,37,15
85285,33,13
85286,63,23
85287,30,41
85288,29,22
85289,25,27
85290,42,27
85291,34,28
85908,37,26
85909,18,20
85910,20,20
85911,13,31
85912,22,29
85913,13,18
85914,7,11
85915,9,10
85916,13,20
85917,23,27
85918,30,30
85919,16,28
85920,11,23
85921,16,12
85922,20,30
85923,7,8
85924,14,12
85925,34,30
85926,21,28
85927,27,36
85928,24,31
85929,21,35
85930,14,14
85931,20,34
85932,28,23
85933,24,19
85934,39,41
85935,29,14
85936,54,36
85937,49,35
85938,37,27
85939,31,19
85940,41,31
85941,16,21
85942,37,21
85943,20,25
85944,35,41
85945,24,33
85946,19,27
85947,24,23
85948,36,10
85949,38,16
85950,26,25
85951,13,22
85952,40,32
85954,21,32
85955,19,36
85956,53,25
85957,33,43
85959,57,40
85960,38,39
85963,29,40
85964,47,33
85965,58,12
85967,36,26
85968,31,19
85969,24,28
85970,40,22
85971,31,21
85972,32,22
85973,32,14
85974,68,14
85975,32,15
85976,21,18
85977,24,15
85978,32,18
85979,24,19
85980,13,22
85981,16,26
85982,15,22
85983,31,26
85984,31,28
85985,34,27
85986,27,30
85987,19,22
85988,27,21
85989,23,18
85990,35,24
85991,25,27
85992,32,38
85993,19,42
85994,17,28
85995,33,21
85996,27,12
85997,15,19
85998,26,24
85999,36,18
86000,22,17
86001,41,37
86002,27,39
86003,36,47
86004,55,12
86005,33,23
86006,30,26
86622,17,22
86623,24,20
86624,14,22
86625,10,32
86626,10,21
86627,16,19
86628,11,24
86629,18,17
86630,11,20
86631,16,34
86632,20,26
86633,12,36
86634,17,27
86635,13,21
86636,17,20
86637,9,11
86638,19,9
86639,23,12
86640,26,26
86641,21,22
86642,12,26
86643,24,17
86644,31,11
86645,32,32
86646,34,38
86647,52,29
86648,43,42
86649,36,25
86650,44,21
86651,24,22
86652,55,20
86653,34,27
86654,22,13
86655,27,33
86656,23,26
86657,31,20
86658,12,13
86659,22,18
86660,29,31
86661,22,38
86662,35,11
86663,45,20
86664,70,15
86665,8,34
86666,22,28
86667,50,31
86669,13,63
86670,19,35
86671,33,53
86674,15,19
86676,25,18
86679,28,16
86680,17,53
86681,41,15
86682,24,13
86683,29,31
86684,38,43
86685,48,20
86686,42,17
86687,26,16
86688,54,29
86689,49,22
86690,40,15
86691,19,20
86692,56,17
86693,21,10
86694,11,13
86695,31,26
86696,29,13
86697,40,23
86698,29,24
86699,26,26
86700,20,27
86701,27,24
86702,28,20
86703,20,21
86704,28,16
86705,29,28
86706,36,43
86707,25,23
86708,22,22
86709,30,17
86710,24,24
86711,26,29
86712,45,37
86713,46,19
86714,13,31
86715,28,47
86716,22,25
86717,42,11
86718,28,19
86719,21,40
86720,30,36
86721,50,36
86722,24,28
87336,14,41
87337,13,20
87338,13,24
87339,15,12
87340,17,12
87341,11,15
87342,16,17
87343,12,14
87344,20,35
87345,22,26
87346,15,23
87347,17,11
87348,18,19
87349,14,21
87350,20,13
87351,12,14
87352,16,13
87353,16,12
87354,20,20
87355,17,28
87356,34,32
87357,29,21
87358,26,14
87359,39,23
87360,58,43
87361,51,26
87362,34,28
87363,40,26
87364,21,23
87365,32,15
87366,45,15
87367,28,28
87368,26,24
87369,30,32
87370,26,28
87371,34,13
87372,15,8
87373,22,9
87374,27,6
87375,35,26
87376,25,80
87377,31,16
87378,29,20
87379,63,25
87380,16,22
87381,24,56
87384,32,49
87385,52,45
87389,39,31
87390,47,14
87393,53,59
87395,23,45
87396,23,20
87397,52,29
87398,8,18
87399,20,14
87400,15,16
87401,34,20
87402,41,40
87403,32,27
87404,18,8
87405,22,15
87406,29,17
87407,29,12
87408,39,15
87409,30,22
87410,37,16
87411,34,17
87412,27,16
87413,27,17
87414,30,27
87415,17,19
87416,15,17
87417,18,14
87418,20,20
87419,36,27
87420,27,25
87421,24,24
87422,30,36
87423,23,24
87424,20,20
87425,17,15
87426,17,23
87427,24,34
87428,25,42
87429,23,36
87430,33,35
87431,17,15
87432,27,39
87433,25,16
87434,35,31
87435,24,42
87436,29,21
87437,38,33
87438,18,50
87439,44,39
87440,20,31
87441,18,35
87442,36,39
87443,34,33
87444,28,25
88050,19,42
88051,15,22
88052,18,21
88053,16,11
88054,14,16
88055,16,8
88056,14,18
88057,25,9
88058,18,27
88059,22,25
88060,24,15
88061,19,16
88062,15,14
88063,9,17
88064,10,15
88065,12,20
88066,20,17
88067,21,11
88068,16,9
88069,17,20
88070,17,16
88071,19,21
88072,28,15
88073,29,19
88074,38,23
88075,39,28
88076,34,21
88077,22,34
88078,19,25
88079,36,23
88080,33,22
88081,31,17
88082,37,31
88083,25,41
88084,35,29
88085,32,19
88086,27,27
88087,25,19
88088,21,14
88089,31,49
88090,17,29
88091,35,15
88092,26,22
88093,24,28
88094,11,45
88095,27,47
88096,41,8
88097,42,71
88099,22,47
88100,20,49
88103,15,48
88104,36,60
88107,25,46
88109,29,36
88111,43,23
88112,16,31
88113,18,14
88114,22,22
88115,16,14
88116,37,27
88117,28,16
88118,16,9
88119,22,39
88120,26,14
88121,14,22
88122,21,15
88123,30,17
88124,28,15
88125,26,28
88126,27,21
88127,26,22
88128,26,33
88129,24,18
88130,29,24
88131,22,19
88132,32,19
88133,28,25
88134,25,22
88135,24,22
88136,19,37
88137,21,24
88138,28,22
88139,21,22
88140,18,22
88141,22,18
88142,26,28
88143,15,43
88144,21,38
88145,31,43
88146,22,30
88147,26,22
88148,31,44
88149,31,28
88150,26,16
88151,28,25
88152,22,32
88153,25,47
88154,23,45
88155,18,56
88156,30,55
88157,35,32
88158,46,22
88159,51,21
88160,27,28
88161,40,38
88162,35,43
88163,32,28
88164,35,34
88165,38,26
88166,33,38
88167,18,23
88168,28,47
88169,45,68
88764,30,14
88765,11,21
88766,23,22
88767,14,11
88768,20,11
88769,20,4
88770,17,13
88771,14,10
88772,18,30
88773,17,23
88774,11,14
88775,12,18
88776,16,12
88777,17,9
88778,17,11
88779,22,17
88780,21,19
88781,24,8
88782,9,9
88783,16,11
88784,11,14
88785,19,13
88786,24,16
88787,15,15
88788,28,14
88789,35,37
88790,39,23
88791,28,18
88792,20,16
88793,33,21
88794,31,18
88795,28,21
88796,40,29
88797,31,35
88798,27,26
88799,23,31
88800,26,21
88801,21,15
88802,46,23
88803,13,10
88804,44,20
88805,31,22
88806,23,13
88807,27,29
88808,30,17
88809,25,50
88810,34,34
88812,34,26
88813,29,17
88816,26,22
88817,38,4
88821,17,15
88826,43,46
88827,10,26
88828,57,15
88829,38,17
88830,40,18
88831,20,25
88832,28,23
88833,14,13
88834,26,14
88835,15,13
88836,18,25
88837,22,16
88838,20,17
88839,24,13
88840,31,16
88841,22,23
88842,20,17
88843,21,21
88844,28,22
88845,32,19
88846,29,14
88847,19,21
88848,20,19
88849,27,14
88850,29,27
88851,25,33
88852,22,20
88853,29,21
88854,37,16
88855,20,45
88856,33,13
88857,11,20
88858,27,29
88859,28,29
88860,36,37
88861,24,14
88862,40,48
88863,20,19
88864,54,18
88865,25,27
88866,34,22
88867,41,31
88868,32,33
88869,60,36
88870,44,32
88871,34,27
88872,33,31
88873,43,24
88874,36,31
88875,32,30
88876,26,23
88877,31,37
88878,17,36
88879,29,32
88880,22,38
88881,42,27
88882,44,37
88883,26,39
88884,23,27
88885,32,37
88886,30,40
88887,23,35
89478,13,42
89479,23,17
89480,20,28
89481,15,15
89482,13,22
89483,23,10
89484,21,25
89485,16,35
89486,19,38
89487,18,15
89488,12,12
89489,17,11
89490,16,14
89491,21,17
89492,19,12
89493,23,19
89494,22,19
89495,15,10
89496,18,8
89497,11,7
89498,12,10
89499,28,13
89500,28,10
89501,11,13
89502,24,16
89503,27,20
89504,40,24
89505,16,24
89506,18,19
89507,23,18
89508,16,21
89509,25,18
89510,34,22
89511,37,20
89512,26,28
89513,33,39
89514,39,41
89515,11,20
89516,19,29
89517,52,23
89518,15,30
89519,25,20
89520,25,33
89521,34,54
89522,16,43
89523,45,19
89524,32,38
89525,51,44
89526,34,35
89527,58,35
89528,29,40
89530,17,33
89531,33,48
89532,26,18
89534,58,49
89535,20,25
89536,36,13
89538,31,29
89539,45,45
89540,15,52
89541,26,31
89542,23,34
89543,18,16
89544,20,18
89545,16,17
89546,16,32
89547,25,24
89548,24,22
89549,21,22
89550,10,21
89551,18,25
89552,22,22
89553,17,21
89554,26,17
89555,26,19
89556,22,19
89557,24,23
89558,34,26
89559,30,24
89560,22,23
89561,22,19
89562,26,22
89563,21,21
89564,26,20
89565,36,20
89566,35,30
89567,19,18
89568,26,15
89569,35,15
89570,30,22
89571,19,34
89572,36,31
89573,29,18
89574,30,22
89575,50,24
89576,26,27
89577,35,28
89578,33,25
89579,39,23
89580,56,32
89581,58,28
89582,29,26
89583,38,35
89584,26,39
89585,35,44
89586,31,37
89587,40,41
89588,36,37
89589,23,37
89590,42,29
89591,25,31
89592,39,41
89593,26,42
89594,38,33
89595,25,40
89596,12,40
89597,28,31
89598,32,34
89599,45,44
89600,27,42
89601,30,41
89602,36,41
89603,28,33
89604,36,47
89605,39,27
89606,29,28
89607,28,51
90192,22,32
90193,20,36
90194,14,21
90195,15,13
90196,7,9
90197,12,11
90198,23,12
90199,26,24
90200,21,20
90201,18,15
90202,15,19
90203,16,11
90204,18,12
90205,15,14
90206,15,10
90207,15,10
90208,17,11
90209,18,10
90210,13,6
90211,14,9
90212,12,10
90213,27,11
90214,29,10
90215,23,14
90216,25,13
90217,15,21
90218,37,20
90219,44,21
90220,26,23
90221,24,23
90222,26,19
90223,30,33
90224,32,23
90225,27,30
90226,36,31
90227,26,39
90228,34,39
90229,21,41
90230,16,38
90231,29,43
90232,24,19
90233,49,44
90234,22,19
90235,10,13
90236,25,39
90237,27,16
90238,38,39
90239,18,47
90240,30,40
90241,18,23
90242,50,25
90243,47,32
90244,65,26
90245,16,44
90246,29,20
90249,64,36
90251,15,35
90252,18,16
90253,18,40
90254,42,58
90255,28,70
90256,17,32
90257,26,33
90258,38,15
90259,15,13
90260,28,8
90261,51,42
90262,19,24
90263,16,28
90264,22,13
90265,17,20
90266,21,24
90267,13,19
90268,26,19
90269,22,23
90270,21,25
90271,24,25
90272,27,21
90273,27,23
90274,27,24
90275,22,19
90276,24,20
90277,20,21
90278,29,25
90279,38,21
90280,18,23
90281,33,18
90282,20,30
90283,26,15
90284,17,17
90285,36,23
90286,20,26
90287,40,40
90288,34,24
90289,27,34
90290,38,15
90291,32,55
90292,53,37
90293,66,35
90294,18,33
90295,58,22
90296,29,37
90297,45,31
90298,45,47
90299,30,39
90300,36,39
90301,32,37
90302,32,41
90303,46,37
90304,18,26
90305,61,30
90306,47,38
90307,27,34
90308,34,47
90309,34,42
90310,41,40
90311,41,49
90312,32,50
90313,28,35
90314,17,75
90315,50,47
90316,31,26
90317,36,34
90318,37,21
90319,25,31
90320,30,36
90321,21,21
90322,30,25
90323,47,26
90324,34,43
90325,34,35
90906,16,8
90907,7,14
90908,18,14
90909,10,16
90910,7,27
90911,10,23
90912,19,12
90913,13,15
90914,15,25
90915,14,11
90916,18,19
90917,24,16
90918,14,13
90919,17,15
90920,13,10
90921,14,8
90922,14,9
90923,18,11
90924,12,11
90925,22,12
90926,15,9
90927,16,18
90928,19,19
90929,24,18
90930,26,20
90931,20,19
90932,21,16
90933,29,16
90934,24,24
90935,17,19
90936,29,17
90937,31,22
90938,47,23
90939,32,30
90940,27,37
90941,39,31
90942,34,35
90943,16,42
90944,36,33
90945,20,32
90946,29,37
90947,23,42
90948,38,14
90949,19,46
90950,21,60
90951,29,34
90952,43,43
90953,31,41
90954,39,54
90955,27,31
90958,26,15
90959,32,30
90960,42,53
90963,78,38
90964,26,37
90966,49,18
90967,17,10
90968,27,57
90970,24,38
90971,27,42
90972,31,19
90973,22,11
90974,23,25
90975,36,44
90976,27,27
90977,19,22
90978,17,24
90979,18,16
90980,27,15
90981,21,29
90982,36,25
90983,21,23
90984,23,27
90985,27,25
90986,26,20
90987,25,21
90988,22,21
90989,23,21
90990,21,18
90991,25,19
90992,26,22
90993,16,17
90994,15,13
90995,26,22
90996,9,18
90997,35,27
90998,15,22
90999,21,33
91000,33,43
91001,31,23
91002,27,32
91003,32,29
91004,35,34
91005,29,20
91006,13,56
91007,18,14
91008,14,48
91009,35,37
91010,33,54
91011,36,31
91012,38,33
91013,41,36
91014,41,40
91015,32,31
91016,32,17
91017,30,20
91018,25,31
91019,25,20
91020,25,25
91021,28,28
91022,21,37
91023,32,26
91024,34,38
91025,37,41
91026,29,52
91027,33,37
91028,30,58
91029,32,23
91030,33,50
91031,26,33
91032,38,20
91033,27,24
91034,26,21
91035,37,26
91036,47,25
91037,36,21
91038,33,54
91039,52,22
91040,37,41
91041,39,29
91620,24,25
91621,12,28
91622,21,12
91623,17,30
91624,8,18
91625,10,21
91626,12,9
91627,19,24
91628,26,27
91629,21,18
91630,15,15
91631,17,8
91632,23,16
91633,17,22
91634,14,12
91635,12,11
91636,15,12
91637,14,17
91638,15,22
91639,18,11
91640,16,15
91641,26,18
91642,26,21
91643,32,23
91644,14,16
91645,20,22
91646,29,17
91647,17,16
91648,20,20
91649,27,17
91650,33,17
91651,30,18
91652,28,32
91653,38,45
91654,46,45
91655,46,38
91656,21,42
91657,26,26
91658,32,17
91659,13,13
91660,25,29
91661,21,31
91662,37,36
91663,21,35
91664,20,30
91665,23,36
91666,28,29
91667,38,34
91668,12,28
91669,53,61
91672,44,39
91673,30,43
91674,32,29
91675,35,39
91678,93,29
91681,49,58
91682,45,37
91683,92,39
91684,27,28
91685,35,21
91686,34,34
91687,24,22
91688,34,14
91689,36,19
91690,15,35
91691,30,20
91692,17,13
91693,26,15
91694,24,37
91695,28,44
91696,25,28
91697,20,29
91698,30,29
91699,24,26
91700,27,21
91701,23,21
91702,24,21
91703,25,21
91704,19,19
91705,24,22
91706,28,22
91707,27,20
91708,34,17
91709,44,17
91710,28,15
91711,42,20
91712,31,21
91713,39,15
91714,33,44
91715,21,41
91716,32,35
91717,33,31
91718,40,25
91719,18,18
91720,20,35
91721,13,32
91722,18,59
91723,80,52
91724,24,28
91725,27,19
91726,32,33
91727,39,32
91728,37,35
91729,40,31
91730,32,20
91731,20,25
91732,25,36
91733,26,33
91734,32,32
91735,28,26
91736,30,24
91737,26,22
91738,34,28
91739,40,28
91740,31,48
91741,38,45
91742,49,31
91743,36,32
91744,31,33
91745,31,44
91746,43,45
91747,46,38
91748,26,34
91749,58,33
91750,49,35
91751,32,61
91752,32,38
91753,38,33
91754,48,28
91755,35,50
91756,49,47
92335,10,13
92336,33,17
92337,11,15
92338,7,11
92339,12,8
92340,7,14
92341,11,13
92342,10,10
92343,25,16
92344,20,15
92345,14,15
92346,13,14
92347,12,15
92348,12,11
92349,13,10
92350,18,11
92351,16,10
92352,24,20
92353,18,13
92354,30,19
92355,37,20
92356,25,21
92357,21,15
92358,26,12
92359,22,17
92360,21,18
92361,18,22
92362,20,19
92363,24,15
92364,28,19
92365,23,22
92366,25,35
92367,35,39
92368,44,26
92369,29,32
92370,22,22
92371,49,23
92372,39,29
92373,51,33
92374,32,23
92375,14,34
92376,43,41
92377,39,46
92378,21,39
92379,21,31
92380,27,34
92381,27,45
92382,19,23
92383,29,40
92384,40,44
92385,36,20
92386,43,8
92388,32,20
92389,45,24
92391,48,52
92393,35,42
92394,25,47
92395,22,86
92396,19,70
92397,28,76
92398,8,23
92399,48,31
92400,46,40
92401,21,26
92402,21,14
92403,17,16
92404,21,25
92405,18,21
92406,18,26
92407,19,29
92408,16,32
92409,30,29
92410,25,27
92411,27,26
92412,25,30
92413,23,27
92414,29,22
92415,26,25
92416,22,21
92417,23,20
92418,22,17
92419,24,18
92420,21,22
92421,26,20
92422,26,28
92423,30,28
92424,34,16
92425,21,18
92426,30,24
92427,40,28
92428,40,48
92429,31,50
92430,24,45
92431,23,36
92432,31,42
92433,32,21
92434,20,17
92435,38,42
92436,44,49
92437,23,36
92438,35,30
92439,37,16
92440,27,13
92441,26,31
92442,30,39
92443,37,27
92444,29,25
92445,44,34
92446,30,34
92447,32,33
92448,30,27
92449,29,39
92450,38,33
92451,30,25
92452,36,30
92453,47,40
92454,48,35
92455,41,33
92456,37,24
92457,60,45
92458,35,40
92459,32,39
92460,57,41
92461,50,46
92462,33,31
92463,22,49
92464,60,38
92465,36,49
92466,33,60
92467,46,44
92468,37,54
92469,52,39
92470,37,48
92471,37,33
92472,23,45
93049,7,15
93050,4,15
93051,20,15
93052,22,16
93053,13,13
93054,9,17
93055,10,15
93056,15,10
93057,21,7
93058,25,17
93059,20,21
93060,19,24
93061,12,18
93062,17,13
93063,11,10
93064,14,10
93065,14,13
93066,20,13
93067,16,19
93068,23,11
93069,21,13
93070,12,24
93071,15,20
93072,17,20
93073,21,22
93074,24,17
93075,21,23
93076,31,14
93077,46,23
93078,37,23
93079,27,22
93080,35,25
93081,28,34
93082,34,24
93083,25,23
93084,29,22
93085,17,28
93086,19,19
93087,19,31
93088,22,18
93089,23,31
93090,36,61
93091,14,35
93092,26,54
93093,29,36
93094,51,26
93095,34,51
93096,23,36
93097,47,47
93098,21,38
93099,28,45
93100,10,52
93101,34,44
93102,35,15
93103,28,38
93104,37,74
93105,23,71
93106,14,92
93107,52,94
93108,20,77
93110,72,66
93111,16,88
93112,22,18
93113,34,6
93114,47,45
93115,36,34
93116,25,45
93117,26,26
93118,18,19
93119,18,13
93120,28,24
93121,36,30
93122,31,21
93123,23,24
93124,17,25
93125,21,30
93126,25,21
93127,25,19
93128,25,22
93129,21,27
93130,19,19
93131,20,20
93132,24,19
93133,30,19
93134,28,26
93135,35,24
