home_grid,age,gender,is_local,ses,avg_dis
143087,a7,2,Y,26,1.668
143088,a1,2,Y,30,9.221
143088,a2,1,N,30,8.245
143088,a2,1,Y,30,3.533
143088,a2,2,N,30,1.845
143088,a2,2,Y,30,7.479
143088,a3,1,N,30,5.866
143088,a3,1,Y,30,6.132
143088,a3,2,N,30,2.236
143088,a3,2,Y,30,5.884
143088,a4,1,N,30,7.103
143088,a4,1,Y,30,6.605
143088,a4,2,N,30,4.786
143088,a4,2,Y,30,4.76
143088,a5,1,N,30,6.547
143088,a5,1,Y,30,6.577
143088,a5,2,N,30,5.573
143088,a5,2,Y,30,4.629
143088,a6,1,N,30,3.709
143088,a6,1,Y,30,6.184
143088,a6,2,N,30,4.447
143088,a6,2,Y,30,6.116
143088,a7,1,N,30,4.555
143088,a7,1,Y,30,2.447
143088,a7,2,N,30,4.399
143088,a7,2,Y,30,3.519
143096,a1,1,Y,41,3.825
143096,a2,1,N,41,5.187
143096,a2,1,Y,41,6.715
143096,a2,2,N,41,8.313
143096,a2,2,Y,41,5.664
143096,a3,1,N,41,6.499
143096,a3,1,Y,41,4.591
143096,a3,2,N,41,6.291
143096,a3,2,Y,41,6.726
143096,a4,1,N,41,4.208
143096,a4,1,Y,41,4.571
143096,a4,2,N,41,2.618
143096,a4,2,Y,41,4.931
143096,a5,1,N,41,6.313
143096,a5,1,Y,41,8.221
143096,a5,2,N,41,4.359
143096,a5,2,Y,41,5.198
143096,a6,1,Y,41,4.52
143096,a6,2,N,41,4.048
143096,a6,2,Y,41,3.616
143096,a7,1,Y,41,4.033
143096,a7,2,N,41,1.702
143096,a7,2,Y,41,2.664
143097,a2,1,N,51,5.541
143097,a2,1,Y,51,6.166
143097,a2,2,N,51,10.868
143097,a2,2,Y,51,8.063
143097,a3,1,N,51,4.889
143097,a3,1,Y,51,7.97
143097,a3,2,N,51,8.408
143097,a3,2,Y,51,5.45
143097,a4,1,N,51,3.733
143097,a4,1,Y,51,5.892
143097,a4,2,N,51,10.496
143097,a4,2,Y,51,6.842
143097,a5,1,N,51,6.165
143097,a5,1,Y,51,5.26
143097,a5,2,N,51,6.607
143097,a5,2,Y,51,4.918
143097,a6,1,N,51,5.081
143097,a6,1,Y,51,4.955
143097,a6,2,N,51,2.981
143097,a6,2,Y,51,5.806
143097,a7,1,N,51,3.46
143097,a7,1,Y,51,5.179
143097,a7,2,N,51,4.289
143097,a7,2,Y,51,3.465
143100,a1,1,N,58,2.205
143100,a1,1,Y,58,11.302
143100,a1,2,Y,58,2.784
143100,a2,1,N,58,5.429
143100,a2,1,Y,58,5.75
143100,a2,2,N,58,4.546
143100,a2,2,Y,58,6.866
143100,a3,1,N,58,4.463
143100,a3,1,Y,58,7.046
143100,a3,2,N,58,3.204
143100,a3,2,Y,58,6.496
143100,a4,1,N,58,7.189
143100,a4,1,Y,58,5.86
143100,a4,2,N,58,5.452
143100,a4,2,Y,58,5.196
143100,a5,1,N,58,5.088
143100,a5,1,Y,58,7.492
143100,a5,2,N,58,4.414
143100,a5,2,Y,58,4.739
143100,a6,1,N,58,3.11
143100,a6,1,Y,58,5.092
143100,a6,2,N,58,4.906
143100,a6,2,Y,58,5.534
143100,a7,1,N,58,24.08
143100,a7,1,Y,58,7.839
143100,a7,2,N,58,2.601
143100,a7,2,Y,58,4.332
143101,a1,2,Y,78,12.875
143101,a2,1,N,78,12.523
143101,a2,1,Y,78,6.388
143101,a2,2,Y,78,12.722
143101,a3,1,N,78,5.821
143101,a3,1,Y,78,4.212
143101,a3,2,N,78,4.204
143101,a3,2,Y,78,8.912
143101,a4,1,N,78,9.127
143101,a4,1,Y,78,5.705
143101,a4,2,N,78,5.317
143101,a4,2,Y,78,5.934
143101,a5,1,N,78,3.269
143101,a5,1,Y,78,10.36
143101,a5,2,N,78,5.58
143101,a5,2,Y,78,5.957
143101,a6,1,N,78,4.788
143101,a6,1,Y,78,4.257
143101,a6,2,N,78,3.806
143101,a6,2,Y,78,9.155
143101,a7,1,N,78,2.625
143101,a7,1,Y,78,4.097
143101,a7,2,Y,78,2.03
143108,a2,1,N,85,7.553
143108,a2,1,Y,85,6.071
143108,a2,2,N,85,4.821
143108,a2,2,Y,85,7.749
143108,a3,1,N,85,6.932
143108,a3,1,Y,85,6.908
143108,a3,2,N,85,3.836
143108,a3,2,Y,85,9.528
143108,a4,1,N,85,5.833
143108,a4,1,Y,85,8.04
143108,a4,2,N,85,12.847
143108,a4,2,Y,85,8.8
143108,a5,1,N,85,6.209
143108,a5,1,Y,85,8.244
143108,a5,2,N,85,7.511
143108,a5,2,Y,85,5.061
143108,a6,1,N,85,7.857
143108,a6,1,Y,85,6.338
143108,a6,2,N,85,9.847
143108,a6,2,Y,85,9.207
143108,a7,1,N,85,1.007
143108,a7,1,Y,85,7.186
143108,a7,2,N,85,5.498
143108,a7,2,Y,85,5.273
143109,a1,2,Y,85,7.378
143109,a2,1,N,85,7.066
143109,a2,1,Y,85,8.542
143109,a2,2,N,85,5.085
143109,a2,2,Y,85,8.869
143109,a3,1,N,85,4.404
143109,a3,1,Y,85,7.342
143109,a3,2,N,85,6.667
143109,a3,2,Y,85,7.503
143109,a4,1,N,85,7.213
143109,a4,1,Y,85,6.981
143109,a4,2,N,85,3.563
143109,a4,2,Y,85,9.078
143109,a5,1,N,85,6.871
143109,a5,1,Y,85,8.07
143109,a5,2,N,85,5.256
143109,a5,2,Y,85,6.398
143109,a6,1,N,85,4.748
143109,a6,1,Y,85,6.366
143109,a6,2,N,85,3.667
143109,a6,2,Y,85,8.142
143109,a7,1,N,85,6.241
143109,a7,1,Y,85,7.679
143109,a7,2,N,85,1.615
143109,a7,2,Y,85,9.634
143110,a1,1,N,95,4.858
143110,a1,1,Y,95,14.581
143110,a1,2,Y,95,5.096
143110,a2,1,N,95,4.334
143110,a2,1,Y,95,5.997
143110,a2,2,N,95,2.902
143110,a2,2,Y,95,6.593
143110,a3,1,N,95,4.67
143110,a3,1,Y,95,6.731
143110,a3,2,N,95,3.918
143110,a3,2,Y,95,5.064
143110,a4,1,N,95,5.624
143110,a4,1,Y,95,6.168
143110,a4,2,N,95,6.937
143110,a4,2,Y,95,6.989
143110,a5,1,N,95,2.586
143110,a5,1,Y,95,4.513
143110,a5,2,N,95,2.054
143110,a5,2,Y,95,4.348
143110,a6,1,N,95,3.004
143110,a6,1,Y,95,4.772
143110,a6,2,N,95,6.337
143110,a6,2,Y,95,7.382
143110,a7,1,N,95,5.439
143110,a7,1,Y,95,4.847
143110,a7,2,N,95,4.381
143110,a7,2,Y,95,6.198
143111,a2,1,N,76,11.427
143111,a2,1,Y,76,6.908
143111,a2,2,N,76,6.829
143111,a2,2,Y,76,8.555
143111,a3,1,N,76,6.549
143111,a3,1,Y,76,7.127
143111,a3,2,N,76,6.793
143111,a3,2,Y,76,7.081
143111,a4,1,N,76,8.555
143111,a4,1,Y,76,7.167
143111,a4,2,N,76,8.091
143111,a4,2,Y,76,5.636
143111,a5,1,N,76,5.55
143111,a5,1,Y,76,5.577
143111,a5,2,N,76,7.318
143111,a5,2,Y,76,7.378
143111,a6,1,N,76,6.526
143111,a6,1,Y,76,5.966
143111,a6,2,N,76,4.144
143111,a6,2,Y,76,6.316
143111,a7,1,N,76,6.346
143111,a7,1,Y,76,8.762
143111,a7,2,N,76,5.234
143111,a7,2,Y,76,6.12
143112,a1,1,Y,74,0.251
143112,a2,1,Y,74,3.506
143112,a2,2,N,74,1.602
143112,a2,2,Y,74,7.914
143112,a3,1,N,74,12.227
143112,a3,1,Y,74,4.519
143112,a3,2,N,74,4.137
143112,a3,2,Y,74,4.327
143112,a4,1,N,74,5.52
143112,a4,1,Y,74,5.457
143112,a4,2,N,74,4.404
143112,a4,2,Y,74,5.904
143112,a5,1,N,74,15.858
143112,a5,1,Y,74,5.532
143112,a5,2,Y,74,8.934
143112,a6,1,N,74,6.003
143112,a6,1,Y,74,6.611
143112,a6,2,N,74,3.444
143112,a6,2,Y,74,5.879
143112,a7,1,N,74,15.457
143112,a7,1,Y,74,3.349
143112,a7,2,Y,74,4.461
143114,a1,1,N,69,3.791
143114,a1,2,Y,69,1.359
143114,a2,1,N,69,3.19
143114,a2,1,Y,69,4.2
143114,a2,2,N,69,3.358
143114,a2,2,Y,69,3.07
143114,a3,1,N,69,4.877
143114,a3,1,Y,69,6.556
143114,a3,2,N,69,5.338
143114,a3,2,Y,69,3.252
143114,a4,1,Y,69,6.4
143114,a4,2,N,69,3.084
143114,a4,2,Y,69,6.353
143114,a5,1,N,69,2.479
143114,a5,1,Y,69,5.658
143114,a5,2,N,69,2.892
143114,a5,2,Y,69,7.356
143114,a6,1,N,69,2.437
143114,a6,1,Y,69,3.751
143114,a6,2,N,69,5.133
143114,a6,2,Y,69,8.514
143114,a7,1,N,69,3.797
143114,a7,1,Y,69,1.891
143114,a7,2,Y,69,3.976
143115,a2,1,N,80,5.66
143115,a2,1,Y,80,4.456
143115,a2,2,N,80,15.807
143115,a2,2,Y,80,4.335
143115,a3,1,N,80,5.223
143115,a3,1,Y,80,7.27
143115,a3,2,N,80,2.554
143115,a3,2,Y,80,5.454
143115,a4,1,N,80,4.363
143115,a4,1,Y,80,6.079
143115,a4,2,N,80,1.527
143115,a4,2,Y,80,7.958
143115,a5,1,N,80,19.878
143115,a5,1,Y,80,4.774
143115,a5,2,N,80,5.43
143115,a5,2,Y,80,8.51
143115,a6,1,N,80,1.317
143115,a6,1,Y,80,5.492
143115,a6,2,Y,80,2.043
143115,a7,1,N,80,3.307
143115,a7,1,Y,80,4.45
143115,a7,2,N,80,3.872
143115,a7,2,Y,80,2.217
143116,a1,1,Y,87,0.965
143116,a1,2,Y,87,3.657
143116,a2,1,N,87,5.15
143116,a2,1,Y,87,7.675
143116,a2,2,N,87,5.136
143116,a2,2,Y,87,6.747
143116,a3,1,N,87,3.488
143116,a3,1,Y,87,6.209
143116,a3,2,N,87,5.187
143116,a3,2,Y,87,8.253
143116,a4,1,N,87,8.614
143116,a4,1,Y,87,7.938
143116,a4,2,N,87,3.005
143116,a4,2,Y,87,6.602
143116,a5,1,N,87,5.709
143116,a5,1,Y,87,5.664
143116,a5,2,N,87,4.695
143116,a5,2,Y,87,7.602
143116,a6,1,N,87,6.637
143116,a6,1,Y,87,6.245
143116,a6,2,N,87,3.066
143116,a6,2,Y,87,8.859
143116,a7,1,N,87,4.386
143116,a7,1,Y,87,5.962
143116,a7,2,N,87,1.855
143116,a7,2,Y,87,4.408
143117,a1,1,Y,95,5.706
143117,a1,2,Y,95,2.803
143117,a2,1,N,95,5.379
143117,a2,1,Y,95,8.296
143117,a2,2,N,95,5.504
143117,a2,2,Y,95,6.926
143117,a3,1,N,95,6.007
143117,a3,1,Y,95,7.36
143117,a3,2,N,95,9.191
143117,a3,2,Y,95,7.393
143117,a4,1,N,95,6.828
143117,a4,1,Y,95,6.005
143117,a4,2,N,95,9.054
