home_grid,ses,entropy
99513,18,8.104242031714179
99514,18,8.01967464665642
99515,15,7.446802740988131
99516,12,7.522293377931859
99547,42,7.203436245452517
99548,42,7.992268082446447
99549,18,8.197697354527087
99550,18,7.591145031866169
99553,34,8.365530789543268
99555,20,6.722001447212794
99556,20,7.248044470301926
99557,18,7.662404578062597
99606,59,7.713678860136643
99607,59,7.589357597223652
99610,29,8.504511868341934
99612,32,7.628204339905032
99628,2,8.233883537180063
100208,5,5.934847091021559
100209,5,6.926903115088168
100211,1,7.348461982656183
100212,3,7.635133776006555
100213,2,7.337008104202485
100219,22,7.427819240945075
100225,16,8.052071809546067
100226,19,7.467151871991557
100229,22,7.367046436113169
100230,18,6.9868749610530365
100262,52,7.961590319352833
100264,39,8.803389253004614
100268,7,7.137573769513452
100269,4,7.5453995427655896
100270,10,7.5851823163119985
100271,10,7.657264671562598
100282,5,4.581853521362212
100283,5,5.894602575037768
100304,12,6.225172313351514
100305,14,6.664713808318497
100320,37,7.948563550474392
100321,37,8.384055934018377
100323,31,8.238442149601312
100324,28,7.8454515107968925
100326,32,8.049674958827847
100327,27,6.849133800640523
100341,12,7.121177210501113
100342,12,8.50739935743643
100343,4,8.17670799885392
100926,3,7.091086989609844
100927,3,7.507011847065644
100930,14,6.980364685728076
100932,24,6.725322298406336
100939,12,7.795189816035489
100940,16,7.792899198549337
100943,16,7.6555458315283005
100976,19,7.693694658027463
100977,18,7.557124184193295
100982,7,6.824692954686835
100983,4,6.707104914121784
100988,3,7.473172163276721
100996,5,6.545784456608117
100997,5,7.431831583055514
101018,11,6.319975109965165
101019,11,6.633288904202538
101020,12,6.336813892859629
101024,11,8.152680372272865
101034,30,7.322659418196907
101035,30,8.673937242089876
101036,28,8.309500840945965
101037,28,8.119556664662664
101038,32,8.401922079090836
101039,32,8.452307525798158
101040,27,7.873717312337462
101041,27,6.306261777421838
101042,27,6.57308789023062
101056,4,7.59905415643029
101057,4,7.9310221537409245
101638,2,7.763751993563847
101642,4,6.362134838349186
101644,14,7.809729959284676
101645,14,8.255210788303563
101647,1,6.904919468272752
101654,8,7.6347845571688335
101655,1,8.611747688235216
101656,1,8.030401785001581
101690,35,7.32272091475243
