home_grid,isolation,ses,ses2
89499,0.5778933834323029,1,1
89552,0.7358784882417944,6,1
89553,0.7914807329040544,6,1
89554,0.6954026959861253,6,1
89557,0.6822433066696494,19,1
89558,0.6799284861521866,19,1
89559,0.5894675305206599,15,1
89562,0.6145935741801336,2,1
89563,0.6709155655071501,3,1
89564,0.6331957045625676,3,1
90199,0.7675725087659839,1,1
90200,0.7762770868368475,1,1
90201,0.8709824905186012,1,1
90202,0.6322652694129374,2,1
90203,0.8296285525822138,2,1
111777,0.5615659775719699,5,1
112350,0.5379253901966254,22,1
112351,0.6128850866172717,22,1
112368,0.3955384355706904,11,1
112409,0.5783110355245662,14,1
112411,0.5706230622527282,13,1
112417,0.27115991735299705,10,1
112418,0.3089942414740052,10,1
112423,0.4657713532382138,6,1
112436,0.3763247759944056,28,2
112438,0.37278786375733985,15,1
112449,0.5042784078615006,16,1
112450,0.42645666472859,17,1
112451,0.4441680721493798,25,1
112452,0.44217862618159,25,1
112455,0.46039014396780625,30,2
112456,0.45958288281974546,31,2
112457,0.4772964415884151,29,2
112458,0.4131841128032177,42,2
112459,0.5075137682561147,42,2
112460,0.47699030164425543,37,2
112461,0.5045999358540587,41,2
112462,0.5099574604610574,33,2
112464,0.4665784537592348,44,2
112465,0.4165114228101959,18,1
112486,0.5668939355182594,16,1
112490,0.6254057419277005,4,1
112491,0.5621032275732478,4,1
113065,0.5493222381004413,18,1
113082,0.33810039287879584,9,1
113083,0.40252959225002694,26,2
113123,0.7532840598448158,10,1
113124,0.5568633851265508,8,1
113125,0.5568363501188145,11,1
113136,0.4432039684087564,5,1
113137,0.4651209898077784,8,1
113150,0.4680750666288217,25,1
113151,0.46902533773337307,25,1
113153,0.641086529750596,17,1
113154,0.558123648203215,17,1
113160,0.6593666785911175,12,1
113161,0.4643037039190032,12,1
113162,0.39192253223760687,15,1
113164,0.30468916051174766,17,1
113165,0.4210905299620829,25,1
113166,0.5447237697119514,25,1
113170,0.29967650591867556,31,2
113172,0.40629698562045063,33,2
113173,0.46977365211991523,14,1
113174,0.3645289088524484,32,2
113175,0.473795113087618,30,2
113176,0.5391386689149511,45,2
113177,0.5456192742838919,29,2
113178,0.47702847359474676,44,2
113179,0.42308712189947034,27,2
113200,0.6552968745660203,15,1
113201,0.5284844107141088,15,1
113204,0.6396909291835181,5,1
113205,0.6049014683748697,5,1
113208,0.5041419907293397,4,1
113774,0.7693886313237372,4,1
113775,0.6864496707734756,4,1
113776,0.7003323684623168,15,1
113777,0.7892879972267179,3,1
113778,0.7451850589614202,3,1
113794,0.5672605240530512,15,1
113795,0.5169035455478166,15,1
113820,0.19694674062907117,62,3
113839,0.4259274579302087,6,1
113846,0.1747604154455679,63,3
113847,0.21026608086714038,21,1
173144,0.3787772946394523,45,2
173145,0.3506033670882527,44,2
173148,0.23475721375615244,8,1
173155,0.18624017031851192,25,1
173219,0.3265555436990687,3,1
173220,0.49817704858577694,3,1
