visit_grid,ses2,distance
82396,3,22584
82396,4,22333
82397,1,9822
82397,2,23396
82397,3,25853
82397,4,23541
82398,1,13480
82398,2,16271
82398,3,26590
82398,4,26091
82399,1,8963
82399,2,22819
82399,3,24654
82399,4,23976
82400,1,8038
82400,2,19286
82400,3,24302
82400,4,24848
82401,1,6565
82401,2,14835
82401,3,14802
82401,4,20321
82402,1,9459
82402,2,12673
82402,3,26173
82402,4,26041
82403,1,9357
82403,2,17367
82403,3,23691
82403,4,26914
82404,1,12071
82404,2,19638
82404,3,25150
82404,4,25002
82405,1,10468
82405,2,19305
82405,3,24861
82405,4,25858
82406,1,10451
82406,2,19511
82406,3,24922
82406,4,26443
82407,1,8026
82407,2,18626
82407,3,24997
82407,4,24993
82408,1,7849
82408,2,16862
82408,3,20065
82408,4,25217
82409,1,8458
82409,2,17334
82409,3,24851
82409,4,23229
82410,1,7677
82410,2,16084
82410,3,24377
82410,4,24388
82411,1,7761
82411,2,17726
82411,3,21217
82411,4,24338
82412,1,8570
82412,2,17481
82412,3,22153
82412,4,24670
82413,1,9698
82413,2,17272
82413,3,22406
82413,4,24367
82414,1,10578
82414,2,17525
82414,3,22934
82414,4,24029
82415,1,12977
82415,2,18356
82415,3,22478
82415,4,24486
82416,1,10515
82416,2,18077
82416,3,21616
82416,4,25022
82417,1,11657
82417,2,17362
82417,3,22702
82417,4,24352
82418,1,13689
82418,2,19794
82418,3,24149
82418,4,25147
82419,1,11554
82419,2,18129
82419,3,23668
82419,4,24480
82420,1,10940
82420,2,18676
82420,3,25459
82420,4,24605
82421,1,10404
82421,2,17933
82421,3,22477
82421,4,25116
82422,1,11369
82422,2,18166
82422,3,23909
82422,4,24108
82423,1,10713
82423,2,17688
82423,3,24363
82423,4,24266
82424,1,10570
82424,2,18920
82424,3,23573
82424,4,24041
82425,1,10836
82425,2,19668
82425,3,25328
82425,4,24990
82426,1,11512
82426,2,18859
82426,3,23669
82426,4,24681
82427,1,10444
82427,2,18782
82427,3,22755
82427,4,24769
83053,1,10601
83053,2,29106
83053,3,35257
