price,geometry,home_grid,pcount,ses,ses2,ses3
32615.0,"POLYGON ((116.322574437 39.71543910999998, 116.322574437 39.71769267299999, 116.3255033090001 39.71769267299999, 116.3255033090001 39.71543910999998, 116.322574437 39.71543910999998))",86702,101,3,1,1
26835.0,"POLYGON ((116.337218795 39.71543910999998, 116.337218795 39.71769267299999, 116.340147665 39.71769267299999, 116.340147665 39.71543910999998, 116.337218795 39.71543910999998))",86707,278,2,1,1
26835.0,"POLYGON ((116.340147665 39.71543910999998, 116.340147665 39.71769267299999, 116.343076536 39.71769267299999, 116.343076536 39.71543910999998, 116.340147665 39.71543910999998))",86708,388,2,1,1
27788.0,"POLYGON ((116.346005408 39.71543910999998, 116.346005408 39.71769267299999, 116.34893428 39.71769267299999, 116.34893428 39.71543910999998, 116.346005408 39.71543910999998))",86710,419,2,1,1
27788.0,"POLYGON ((116.34893428 39.71543910999998, 116.34893428 39.71769267299999, 116.35186315 39.71769267299999, 116.35186315 39.71543910999998, 116.34893428 39.71543910999998))",86711,404,2,1,1
27610.0,"POLYGON ((116.129268934 39.71769267299999, 116.129268934 39.71994623400002, 116.132197805 39.71994623400002, 116.132197805 39.71769267299999, 116.129268934 39.71769267299999))",87350,164,2,1,1
27610.0,"POLYGON ((116.132197805 39.71769267299999, 116.132197805 39.71994623400002, 116.135126677 39.71994623400002, 116.135126677 39.71769267299999, 116.132197805 39.71769267299999))",87351,133,2,1,1
31526.0,"POLYGON ((116.14098442 39.71769267299999, 116.14098442 39.71994623400002, 116.143913292 39.71994623400002, 116.143913292 39.71769267299999, 116.14098442 39.71769267299999))",87354,293,3,1,1
41525.0,"POLYGON ((116.173202005 39.71769267299999, 116.173202005 39.71994623400002, 116.176130875 39.71994623400002, 116.176130875 39.71769267299999, 116.173202005 39.71769267299999))",87365,57,12,1,2
31847.0,"POLYGON ((116.181988616 39.71769267299999, 116.181988616 39.71994623400002, 116.184917488 39.71994623400002, 116.184917488 39.71769267299999, 116.181988616 39.71769267299999))",87368,25,3,1,1
39674.5,"POLYGON ((116.184917488 39.71769267299999, 116.184917488 39.71994623400002, 116.18784636 39.71994623400002, 116.18784636 39.71769267299999, 116.184917488 39.71769267299999))",87369,65,10,1,1
47944.0,"POLYGON ((116.18784636 39.71769267299999, 116.18784636 39.71994623400002, 116.190775231 39.71994623400002, 116.190775231 39.71769267299999, 116.18784636 39.71769267299999))",87370,15,20,1,2
35156.0,"POLYGON ((116.3255033090001 39.71769267299999, 116.3255033090001 39.71994623400002, 116.32843218 39.71994623400002, 116.32843218 39.71769267299999, 116.3255033090001 39.71769267299999))",87417,133,5,1,1
35156.0,"POLYGON ((116.32843218 39.71769267299999, 116.32843218 39.71994623400002, 116.331361052 39.71994623400002, 116.331361052 39.71769267299999, 116.32843218 39.71769267299999))",87418,149,5,1,1
32542.0,"POLYGON ((116.334289924 39.71769267299999, 116.334289924 39.71994623400002, 116.337218795 39.71994623400002, 116.337218795 39.71769267299999, 116.334289924 39.71769267299999))",87420,225,3,1,1
32542.0,"POLYGON ((116.337218795 39.71769267299999, 116.337218795 39.71994623400002, 116.340147665 39.71994623400002, 116.340147665 39.71769267299999, 116.337218795 39.71769267299999))",87421,377,3,1,1
31598.0,"POLYGON ((116.340147665 39.71769267299999, 116.340147665 39.71994623400002, 116.343076536 39.71994623400002, 116.343076536 39.71769267299999, 116.340147665 39.71769267299999))",87422,498,3,1,1
